cluster_label,n_clicks,n_members,cluster_mean_dist_to_centroid,nearest_sharma_type,sharma_mean_dist_to_centroid,variance_ratio,flag_collapse
P7c14,7,12,0.04256034680253448,7D1,0.0881204293408406,0.48297933998840964,False
P7c16,7,16,0.04327613503661708,7R,0.0595543365348204,0.7266663950040693,False
P7c17,7,10,0.05771842998922407,7R,0.0595543365348204,0.9691725799930135,False
P7c18,7,52,0.06325514048638842,7R,0.0595543365348204,1.0621416368126981,False
P7c2,7,24,0.05252464571184814,7R,0.0595543365348204,0.8819617305473275,False
P7c3,7,48,0.034432489804464304,7R,0.0595543365348204,0.5781693123947778,False
P7c4,7,123,0.06267503163210704,7i,0.0562746762325679,1.1137342020963072,False
P7c5,7,20,0.044106429430116556,7R,0.0595543365348204,0.7406081907121622,False
P7c6,7,24,0.030989523596694452,7R,0.0595543365348204,0.520357129301162,False
P7c7,7,58,0.09576824124614693,7R,0.0595543365348204,1.6080817421272566,False
P7c8,7,22,0.03824421276748063,7R,0.0595543365348204,0.6421734334177309,False
P7c9,7,14,0.03262436519730137,7R,0.0595543365348204,0.5478083897085557,False
P8c1,8,33,0.09795932227566663,8R,0.1127264306876827,0.8690004791074287,False
P8c2,8,12,0.04862861155811815,8R,0.1127264306876827,0.4313860667942861,False
P8c3,8,58,0.05022837149677706,8R,0.1127264306876827,0.4455775916114886,False
P8c4,8,16,0.044895585293170684,8R,0.1127264306876827,0.39827026385282593,False
P8c5,8,31,0.08648831223892352,8R,0.1127264306876827,0.7672407589888663,False
P8c6,8,16,0.05689178900300374,8i,0.0339409292518794,1.6762000999089761,False
P9c1,9,39,0.07694812670869287,9R,0.0739067855864186,1.041151040437526,False
P9c2,9,31,0.02063457886547724,9R,0.0739067855864186,0.27919735247245187,False
P9c3,9,12,0.07425144532701404,9R,0.0739067855864186,1.0046634383820203,False
P9c4,9,18,0.05256098830510489,9i,0.0422018697341772,1.245465867654161,False
P9c5,9,24,0.035814240178230865,9R,0.0739067855864186,0.4845866302269846,False
P10c1,10,65,0.16195430999902963,10R,0.0778752144879422,2.079664384412139,True
P10c2,10,15,0.04486471446562453,10R,0.0778752144879422,0.5761103164932041,False
P10c3,10,75,0.09411905588817604,10R,0.0778752144879422,1.2085880791089052,False
P10c4,10,40,0.0228507223114111,10R,0.0778752144879422,0.2934274077017045,False
